RowName,ActionUpperState,ActionLowerState
1_Prisoner,"(Interact,Move,Dangerous)","(DoorPicking,Run,Escape)"
2_Prisoner,"(Interact,Interact,Move,Dangerous)","(Anger,AssistNeighbor,Run,Escape)"
3_Prisoner,"(Confusion,Confusion,Confusion,Confusion)","(Distract,Distract,Distract,Distract)"
4_Prisoner,(Confusion),(Distract)
5_Prisoner,"(Interact,Move,Dangerous)","(Doorpicking,Randommove,TowerRaid)"
6_Prisoner,"(Confusion,Confusion,Interact,Confusion)","(Distract,Distract,Teleport,Distract)"
7_Prisoner,"(Dangerous,Interact,Move,Dangerous)","(Radioactivity,Teleport,Floating,TopEscape)"
8_Prisoner,"(Interact,Move,Confusion,Move,Dangerous)","(Doorpicking,Randommove,Distract,Run,Escape)"
9_Prisoner,(Confusion),(Distract)
10_Prisoner,"(Interact,Move,Dangerous)","(Doorpicking,Spiderman,TopEscape)"
11_Prisoner,(Dangerous),(Flame)
12_Prisoner,(Confusion),(Golf)
13_Prisoner,(Dangerous),(TopEscape)
